Product ID,Description,price,Category
6304364415,"Tchaikovsky - The Sleeping Beauty / Durante, Solymosi, Dowell, Royal Ballet [VHS]",40.0,Classical
6304371772,Korn - Who Then Now? [VHS],14.88,Alternative Metal
6304400225,Fun and Fancy Free (Fully Restored 50th Anniversary Limited Edition) (Walt Disney's Masterpiece)  [VHS],2.48,Disney
6304400381,Pooh's Grand Adventure - The Search for Christopher Robin [VHS],7.45,Disney
6304469519,"Verdi - Aida / Maazel, Chiara, Pavarotti, La Scala [VHS]",4.41,Classical
6304469527,"Puccini - La Boh&egrave;me / Severini, Pavarotti, Freni, San Francisco Opera [VHS]",14.95,Classical
6304469535,Lohengrin [VHS],18.98,Classical
630446956X,"Johann Strauss - Die Fledermaus / Bonynge, Cox, Ashton, Royal Opera [VHS]",49.35,Classical
6304469586,"Lehar - The Merry Widow / Bonynge, Sutherland, Stevens, Opera Australia [VHS]",7.21,Classical
6304479689,Elvis on Tour [VHS],2.0,Pop
6304479700,Elvis - The Lost Performances [VHS],3.09,Rock
630447976X,Kid Galahad [VHS],0.95,Classic Rock
6304479786,Live a Little Love a Little [VHS],8.9,Rock
6304479794,"Speedway, Elvis Commemorative Collection [VHS]",6.95,Pop
6304492332,Alanis Morissette: Jagged Little Pill - Live [VHS],2.85,American Alternative
6304493622,Keppel Road - The Life and Music of the Bee Gees [VHS],0,Adult Contemporary
6304493703,The Original Three Tenors Concert,24.7,Classical
6304498969,Eric Clapton - Unplugged,18.99,Acoustic Blues
6304498977,Madonna - The Girlie Show (Live Down Under),29.99,Dance & Electronic
6304498985,R.E.M.: Road Movie,12.65,Alternative Rock
6304558139,Jerry Herman's Broadway at the Hollywood Bowl,19.58,Vocal Pop
630456161X,Casper - A Spirited Beginning [VHS],2.0,Children's Music
6304584598,Tchaikovsky - Swan Lake,18.25,Classical
6304593511,Aida [VHS],17.77,Classical
6304639457,Fleetwood Mac: The Dance   [VHS],5.55,Adult Contemporary
630464938X,Queen - We Will Rock You,31.9,Album-Oriented Rock (AOR)
6304676999,Badfinger,17.71,Power Pop
6304687567,Paul McCartney - In the World Tonight [VHS],7.88,Rock
6304698844,George Strait: Live [VHS],19.99,Neotraditional
6304702205,Yanni - Tribute [VHS],0.96,Jazz
6304707606,"Hanson - Tulsa, Tokyo &amp; the Middle of Nowhere [VHS]",12.42,Rock
6304723814,Andrea Bocelli - A Night in Tuscany [VHS],0.96,Classical
6304737491,Cinderella [VHS],7.89,Disney
6304745699,Monolith of Death Tour Live 96/97 [VHS],11.0,Metal
6304749007,"Judy, Frank &amp; Dean - The Legendary Concert [VHS]",14.52,Traditional Pop
6304749112,Judy Garland - Live at the London Palladium [VHS],2.88,Traditional Pop
6304749724,John Denver - Montana Christmas Skies [VHS],9.83,Christmas
6304753454,Classic Albums - The Grateful Dead: Anthem to Beauty [VHS],3.57,Album-Oriented Rock (AOR)
6304753462,Classic Albums - Fleetwood Mac: Rumours [VHS],8.96,Adult Contemporary
6304756178,Billy Joel - Live at Yankee Stadium,11.98,Album-Oriented Rock (AOR)
6304756186,Kenny Loggins: Outside from the Redwoods,13.78,Soft Rock
6304803737,"Billy Joel - Greatest Hits, Volume 3: The Video",11.32,Singer-Songwriters
6304813031,Classic Albums - Paul Simon: Graceland [VHS],11.68,Adult Contemporary
630481996X,Earth Wind &amp; Fire - Live in Japan,9.99,Vocal Pop
6304916531,Sarah Brightman: In Concert [VHS],0.57,Vocal Pop
6304959729,All Access [VHS],9.88,Adult Contemporary
6304994281,Lynyrd Skynyrd - Lyve from Steel Town [VHS],6.99,Album-Oriented Rock (AOR)
6305005273,John Fogerty: Premonition,99.99,Vocal Pop
6305026009,Hated [VHS],19.99,American Alternative
6305054029,Smokey Robinson - The Greatest Hits Live,11.46,Vocal Pop
6305071594,Music for Montserrat,9.99,Rock
6305074143,Andrew Lloyd Webber: The Royal Albert Hall Celebration [VHS],3.95,Soundtracks
6305075387,Anderson Bruford Wakeman Howe: An Evening of Yes Music Plus,10.0,Progressive Rock
6305076669,Goosebumps - One Day at Horrorland Part 1 &amp; 2 [VHS],23.21,Children's Music
6305076995,Yes - Yessongs,9.73,Album-Oriented Rock (AOR)
6305078610,Mozart - Don Giovanni / Giorgio Strehler &middot; Riccardo Muti &middot; T. Allen &middot; E. Gruberova &middot; Teatro alla Scala,70.95,Classical
6305078726,"Mozart - Cosi Fan Tutte / Muti, Dessi, Ziegler, Teatro alla Scala",17.99,Classical
6305078734,Cilea - Adriana Lecouvreur / Lamberto Puggelli &middot; Gianandrea Gavazzeni &middot; Mirella Freni &middot; Fiorenza Cossotto &middot; Teatro alla Scala,34.99,Classical
6305078971,Isle of Wight,13.98,Rock
6305079145,Giacomo Puccini - La Boh&egrave;me / Franco Zeffirelli &middot;  James Levine -  T. Stratas &middot;  R. Scotto &middot;  J. Carreras &middot;  MET,19.3,Classical
6305079188,"Puccini - Tosca / Sinopoli, Zeffirelli, Domingo, Behrens, MET",21.79,Classical
6305080224,"Cooper, Alice / Prime Cuts",11.98,Metal
630508923X,Puccini - La Fanciulla Del West,12.99,Classical
6305089493,Verdi - Attila / J&eacute;r&ocirc;me Savary &middot; Riccardo Muti &middot; Samuel Ramey &middot; Teatro alla Scala,15.96,Classical
630508985X,Blue Oyster Cult - Live 1976,12.32,Album-Oriented Rock (AOR)
6305089949,Live in Europe,29.99,Proto Punk
6305090394,Across From Midnight,14.95,Soft Rock
6305111677,Richard Pryor - Live in Concert,6.14,Comedy & Spoken Word
6305130930,The Allman Brothers Band: Brothers of the Road,11.88,Album-Oriented Rock (AOR)
630513099X,Rossini - La donna del lago / Werner Herzog &middot; Riccardo Muti &middot; June Anderson &middot; Teatro alla Scala,17.99,Classical
