Product ID,Description,price,Category
B0002D0Q2W,Danelectro DJ-14C Fish &amp; Chips 7 Band EQ Mini Effects Pedal,28.45,Equalization
B0002DUPZK,Ernie Ball 2150 Extra Slinky Acoustic Phosphor Bronze String Set ( 10 - 50),5.04,Acoustic Guitar Strings
B0002DUPZU,Ernie Ball 2148 Super Slinky Acoustic Phosphor Bronze String Set ( 11 - 52),4.95,Acoustic Guitar Strings
B0002DUQ04,Ernie Ball 2146 Regular Slinky Acoustic Phosphor Bronze String Set (12 - 54),4.9,Acoustic Guitar Strings
B0002DURNK,"Fender 150 L Pure Nickel Ball End 9-42, Electric Guitar Strings",4.0,Electric Guitar Strings
B0002DUS8E,Fender 250L Nickel Plated Steel Electric Guitar Strings - Light,4.26,Electric Guitar Strings
B0002DV6RQ,Ernie Ball 2003 Earthwood Medium Light 80/20 Bronze Acoustic String Set (12 - 54),4.17,Acoustic Guitar Strings
B0002DV7U2,Fender Mini Electric Guitar Stand,9.45,Stands
B0002DV7ZM,Fender Mini Acoustic Guitar Stand,13.24,Stands
B0002DVBJY,Ernie Ball 2831 Power Slinky Nickel Wound Bass Set (55 - 110),11.74,Bass Guitar Strings
B0002E1G5C,Planet Waves Pro Winder String Winder and Cutter,6.92,String Winders
B0002E1H9W,Dunlop System 65 Guitar Maintenance Kit,18.24,Cleaning & Care
B0002E1I2I,Dunlop Guitar Fingerboard Kit,7.59,Cleaning & Care
B0002E1J3Q,Ernie Ball 2626 Not Even Slinky Nickel Wound String Set (12 - 56),5.2,Electric Guitar Strings
B0002E1J5E,Ernie Ball 2627 Beefy Slinky Nickel Wound String Set (11 - 54),3.99,Electric Guitar Strings
B0002E1NNC,"Elixir Strings Acoustic Guitar Strings, 6 String, Extra Light POLYWEB Coating",11.72,Acoustic Guitar Strings
B0002E1NNM,"Elixir Strings Acoustic Guitar Strings, 6 String, Light POLYWEB Coating",11.13,Acoustic Guitar Strings
B0002E1NQ4,"Neotech 5701002 Super Banjo Strap, Black",18.73,Banjo Accessories
B0002E1NQE,Mirror Cover,9.29,Electric Guitar Strings
B0002E1O2C,Elixir Light Nanoweb 80/20 Bronze Acoustic Guitar Strings,12.08,Acoustic Guitar Strings
B0002E1O2M,"Elixir Strings Acoustic Guitar Strings, 6-String, Medium NANOWEB Coating",12.97,Acoustic Guitar Strings
B0002E1O2W,"Elixir Strings Electric Guitar Strings, 6-String, Super Light NANOWEB Coating",9.27,Electric Guitar Strings
B0002E1O3G,"Elixir Strings Electric Guitar Strings, 6-String,  Light NANOWEB Coating",9.27,Electric Guitar Strings
B0002E1O5E,"Elixir Strings Electric Guitar Strings, 6-String, Medium NANOWEB Coating",9.27,Electric Guitar Strings
B0002E1O7M,"Elixir Strings Acoustic Guitar Strings, 6-String, Extra Light NANOWEB Coating",12.08,Acoustic Guitar Strings
B0002E1O7W,"Elixir Strings Acoustic Guitar Strings, 6-String, Custom Light NANOWEB Coating",11.72,Acoustic Guitar Strings
B0002E1O90,"Elixir Strings Acoustic Guitar Strings, 12-String, Light NANOWEB Coating",18.38,Acoustic Guitar Strings
B0002E1OVS,Dean EVO XM Solid Body Electric Guitar - Satin Natural,99.96,Solid Body
B0002E2EOE,RhythmTech RT7350 ProTorq Drum Key,10.18,Drum & Percussion Accessories
B0002E2G24,Fender 099-2250-000 4-Position Custom Shop Telecaster Pickup Selector Switch,13.25,Electronics
B0002E2G2O,Fender Strat/Tele Vintage Machine Head set of 6,29.39,Tuning Pegs
B0002E2GMY,Fender American Series String Guides,6.28,Instrument Accessories
B0002E2KPC,Jim Dunlop 83 Cg Dunlop Crvd Capo Gld,9.92,Capos
B0002E2S36,Fender 351 Classic Celluloid Guitar Picks 12-Pack - Shell - Heavy,3.71,Picks
B0002E2TTO,Guardian Cases CG-020-MA Mandolin Case,39.3,Acoustic & Classical Guitar Bags & Cases
B0002E2VXS,Fender 346 Triangle Guitar Picks 12-Pack - White - Medium,4.53,Picks
B0002E2XCW,"Fender 351 Premium Celluloid Guitar Picks, 12 Pack, Black Moto, Medium",4.82,Picks
B0002E2Z8Y,Shubb C1 Nickel Capo for Steel String Guitar,17.95,Capos
B0002E37G8,Martin Guitar Leather Strap Button,8.69,Straps
B0002E37MM,Monster Standard 100 - 21' Instrument Cable - Angled to Straight 1/4&quot; plugs,19.95,Instrument Cables
B0002E382Q,Monster M ROCK-12 1/4-Inch Rock Instrument Cable (12 Feet),66.51,Instrument Cables
B0002E3830,Monster Rock - 21' Instrument Cable - Straight to Straight 1/4&quot; plugs,118.47,Instrument Cables
B0002E38AS,Monster Rock - 12' Instrument Cable - Angled to Straight 1/4&quot; plugs,61.42,Instrument Cables
B0002E38B2,Monster Rock - 21' Instrument Cable - Angled to Straight 1/4&quot; plugs,61.42,Instrument Cables
B0002E3A8S,"Manhasset 1100 Model #1100 Accessory Shelf, Music Stand Accessory",5.82,Sheet Music Stands
B0002E3B78,Seymour Duncan SA3SC Woody SC Acoustic Guitar Pickup - (Maple),37.0,Pickups & Pickup Covers
B0002E3CHC,"D'Addario EXP15 Coated Phosphor Bronze Acoustic Guitar Strings, Extra Light, 10-47",9.19,Acoustic Guitar Strings
B0002E3DGC,Gator Cases Deluxe ABS Fit-All Electric Guitar Case (Plastic),86.3,Electric Guitar Bags & Cases
B0002E3DLM,OnStage GS7462B Folding Guitar Stand,22.95,Stands
B0002E3DNK,On Stage GS7465 Pro Flip It A-Frame Guitar Stand,25.95,Stands
B0002E3FCO,CAD Audio EPF-15A Pop Filter on 15-Inch Gooseneck,12.49,Windsreens & Pop Filters
B0002E3MRW,Signal Flex MH-6 SHURE TYPE MIC HOLDER,4.49,Clips & Mounts
B0002E4Z8M,"Shure SM7B Vocal Dynamic Microphone, Cardioid",349.0,Vocal
B0002E51ZS,MXR Dyna Comp Effects Pedal,69.99,Compression
B0002E5266,Pacific Drums by DW 700 SERIES BOOM CYMBAL STAND,34.95,Straight
B0002E528E,Pacific Drums and Percussion 700 Series Drum Throne,54.99,Thrones
B0002E52RU,MXR 10 Band Graphic EQ w/ 18V power supply,115.99,Equalization
B0002E54FK,Remo SA011400 Weatherking Ambassador Hazy 14-Inch Snare Side Drumheads,12.13,Snare Drumheads
B0002E54ZU,On Stage MSA-9502  Mini Microphone Boom Arm,11.95,Clips & Mounts
B0002E5518,On Stage MSA9508 Posi-Lok Sidemount Boom,9.56,Mic Stands
B0002F4MKC,WUHAN WU104-12 China Cymbal,27.99,China & Effect
B0002F4VBM,DigiTech DBM Bad Monkey Tube-Overdrive Analog-Distortion Pedal,49.95,Distortion & Overdrive
B0002F519I,Vic Firth Stereo Isolation Headphones.,48.14,DJ Headphones
B0002F52EW,Yamaha FC4 Piano Style Sustain Pedal,19.18,Pedals & Footswitches
B0002F58TG,"Jasmine S35 Acoustic Guitar, Natural",89.99,Steel-string Acoustics
B0002F6RSM,Musician's Gear Deluxe Bass Case Black,54.99,Bass Guitar Bags & Cases
B0002F73YY,Gibraltar SC-DC Hi Hat Drop Clutch,12.34,Musical Instruments
B0002F741Q,Vic Firth American Classic 5A Drum Sticks,6.77,Drumsticks
B0002F75K6,"Squier by Fender MINI Strat Electric Guitar, Black",99.0,Solid Body
B0002F77B8,"Epiphone DR-212 Acoustic Guitar, 12-String, Natural",199.0,Steel-string Acoustics
B0002F7IIK,String Swing Metal Home and Studio Wide Guitar Hanger (Black),8.22,Electric Guitar Stands
B0002F7IN0,"On-Stage SM7211 Professional Folding Orchestral Music Stand, Black",36.95,Sheet Music Stands
B0002F7K7Y,"D'Addario EXL110 Nickel Wound Electric Guitar Strings, Regular Light, 10-46",1.96,Electric Guitar Strings
B0002FO9QY,"Epiphone Case for Epiphone Dot, Sheraton, 335",99.0,Electric Guitar Bags & Cases
B0002FOBJY,Manhasset Model #48 Sheet Music Stand,40.21,Sheet Music Stands
B0002GIRP2,MXL 990 Condenser Microphone with Shockmount,99.99,Condenser Microphones
B0002GIW3Y,John Pearse 600L Phosphor Bronze Acoustic Guitar Strings,6.86,Acoustic Guitar Strings
B0002GJ3E6,Planet Waves Ergonomic Guitar Peg Winder,5.48,Tools
B0002GJ3ZA,"Dunlop 41R71 .71mm (Medium Pink) Delrin Guitar Picks, 72-Pack",13.64,Picks
B0002GJ6FC,Planet Waves Guitar Headstand,7.88,Electric Guitar Stands
B0002GJILE,"Dunlop 474R10 1.0mm Stubby Jazz Guitar Picks, 24-Pack",11.04,Picks
B0002GL7ZO,Gator GK-2110 Gig Bag for Micro Controllers (22.5&quot; x 11.5&quot; x 4&quot;),29.74,"Bags, Cases & Covers"
B0002GLCRC,String Swing CC01K Hardwood Home &amp; Studio Guitar Hanger,9.99,Tools
B0002GLDQM,Dunlop Pickholder (picks not included),1.54,Picks
B0002GMGYA,"Planet Waves Classic Series Instrument Cable, 15 feet",8.55,Instrument Cables
B0002GML4U,"Planet Waves Classic Series XLR Microphone Cable, 25 feet",13.58,Microphone Cables
B0002GOJZO,Dava 1303 Delrin Grip Tips Guitar Pick (6-Pack),6.93,Picks
B0002GOK08,Dava 0109 Master Control Nickel Silver,2.74,Instrument Accessories
B0002GTZR6,Jim Dunlop D3811BL Dun Strap Flambe Blue,9.94,Straps
B0002GW3Y8,Fingerease Guitar String Lubricant,3.49,Instrument Accessories
B0002GWFEQ,Planet Waves Acoustic Guitar Quick-Release System,3.67,Straps
B0002GWXKC,No Title,0,Musical Instruments
B0002GX5NG,"On Stage Microphone 6-inch Gooseneck, Chrome",3.95,Clips & Mounts
B0002GX6V2,MXR Phase 90 Effects Pedal,79.0,"Chorus, Flange & Tremolo"
B0002GXF8Q,"On Stage Foam Ball-Type Mic Windscreen, Black",2.94,Windsreens & Pop Filters
B0002GXPRM,On Stage MY250 Shure Type Microphone Clip,4.1,Clips & Mounts
B0002GXRF2,Remo Pinstripe Value Pack with Emperor X Coated Snare Head,50.99,Snare Drumheads
B0002GXV2Q,Hosa CFS606 6 Inch Right Angle FX Pedal Cable - 6 Pack,5.69,Instrument Cables
B0002GXV3A,MXR 6 Band Graphic EQ Pedal,79.0,Distortion & Overdrive
B0002GXZK4,Jasmine S34C NEX Acoustic Guitar,119.99,Steel-string Acoustics
B0002GYW4C,Planet Waves Microfiber Polish Cloth,5.48,Cleaning & Care
B0002GYYD6,DigiTech XDV DigiVerb Digital Reverb Pedal,99.95,Delay & Reverb
B0002GYYDQ,Digitech XMS Main Squeeze Compressor/Sustainer Guitar Pedal,69.95,Compression
B0002GZ052,"Ernie Ball 6180 Junior Size Volume Pedal-Mono, 250K",67.05,Volume & Expression
B0002GZBLU,"Planet Waves 3 Inch Wide Bass Guitar Strap w/ Internal Pad, Black",14.74,Straps
B0002GZBNS,"Planet Waves Mandolin Strap, Black",10.2,Mandolin Accessories
B0002GZBO2,"Planet Waves Mandolin Strap, Brown",10.47,Mandolin Accessories
B0002GZLZQ,Visual Sound  Visual Sound One Spot Adapter,17.54,Guitar & Bass Accessories
B0002GZM00,Visual Sound One Spot Multi-Plug 5 Cable,7.68,Electric Guitar Effects
B0002GZQ1U,DiMarzio 2&quot; Nylon ClipLock Guitar Strap Black,16.99,Straps
B0002GZTT4,Ernie Ball 4222 Guitar Polish with Cloth,4.99,Cleaning & Care
B0002H02IG,"Planet Waves Custom Series Instrument Cable,  Right Angle, 10 feet",14.5,Instrument Cables
B0002H03YY,"D'Addario EXL120+ Nickel Wound Electric Guitar Strings, Super Light Plus, .0095-.044",5.29,Electric Guitar Strings
B0002H04NE,"D'Addario EXL170 Nickel Wound Bass Guitar Strings, Light, 45-100, Long Scale",13.34,Bass Guitar Strings
B0002H0A3S,"D'Addario EJ26 Phosphor Bronze Acoustic Guitar Strings, Custom Light, 11-52",0.2,Acoustic Guitar Strings
B0002H0FMO,"D'Addario EJ10 Bronze Acoustic Guitar Strings, Extra Light, 10-47",4.83,Acoustic Guitar Strings
B0002H0H4A,Blue Microphones The Pop Universal Pop Filter,29.98,Windsreens & Pop Filters
B0002H0JZC,"D'Addario EJ27N Student Nylon Classical Guitar Strings, Normal Tension",4.69,Classical Guitar Strings
B0002H0KG0,Johnson Mandolin A-Style with F Holes Sunburst,59.99,Mandolins
B0002H0LQO,"D'Addario J65 Ukulele Strings, Soprano",4.08,Ukulele Accessories
B0002H0N76,Dean Markley Blue Steel LT 2034 Acoustic Guitar Strings (.011-.052),5.29,Acoustic Guitar Strings
B0002H0SKS,DR Strings Pure Blues Pure Nickel Wrap Round Core 9-42,5.55,Electric Guitar Strings
B0002HLL8G,"D'Andrea Tone Pins Brass Bridge Pin Set, Abalone",11.94,Bridge & Bridge Parts
B0002IAJ56,Hosa IRG6005 6-Inch Guitar Patch Cable,15.5,Instrument Cables
B0002IHFVM,"Planet Waves Planet Lock Guitar Strap, Polypropylene, Black",8.83,Straps
B0002IHGZC,Voodoo Lab Pedal Power 2 Plus Universal Power Supply - (New),169.0,Multieffects
B0002IHP0S,"Wedgie WMH001 Wedgie Micstand Pick Holder, Single",5.3,Picks
B0002II6V0,Glaesel Violin Ultra Practice Mute,3.94,Orchestral Strings Accessories
B0002KYXTM,Behringer FCV100 Ultra-Flexible Dual-Mode Foot Pedal,29.99,Pedals & Footswitches
B0002KZAKS,Behringer XM8500 Dynamic Cardioid Microphone,24.99,Vocal
B0002KZDN2,Fender 5-way Selector Switch,9.18,Guitar & Bass Accessories
B0002KZE7C,Fender Pickguard Screws,4.36,Pick Guards
B0002KZEAE,"Fender Original 250k Splitshaft Potentiometer, Volume or Tone",5.13,Electronics
B0002KZEMC,"Fender Standard Stratocaster Pickguard, 11-hole For 3 single coil pickups, Black",18.06,Pick Guards
B0002KZFYE,Fender 099-1940-100 Electric Guitar Part Stratocaster Jack Ferrule - Chrome,7.15,Electric Guitar Parts
B0002KZHQA,Fender Polish Cloth - Untreated,3.15,Instrument Accessories
B0002KZISM,Fender Original  Strap Buttons,4.74,Straps
B0002KZIV4,"Fender Strat Knobs, One Volume, Two Tone,  Black",4.92,Knobs
B0002KZIVY,Fender 099-1368-000 Aged White Stratocaster Accessory Kit,16.95,Beginner Kits
B0002KZQ34,Fender Frontman 25R Electric Guitar Amplifier,179.99,Combo Amps
B0002M3OVI,"On Stage DS7200B Adjustable Desk Microphone Stand, Black",12.95,Mic Stands
B0002M6B2M,"Martin M140 Bronze Acoustic Guitar Strings, Light",5.06,Acoustic Guitar Strings
B0002M6CVC,Ernie Ball 2221 Regular Slinky Nickel Wound Set (10 - 46),3.15,Electric Guitar Strings
B0002M6CW6,Ernie Ball 2223 Super Slinky Nickel Wound Set (09 - 42),2.89,Electric Guitar Strings
B0002M728Y,JJ Electronics T-12AX7-S-JJ Vacuum Tube ECC83 Electric Guitar Power Amplifier,11.8,Tubes
B0002M72JS,Electro-Harmonix 12AX7EH Preamp Tube,12.69,Tubes
B0002MDTVS,West Music Wire Music Stand with Bag (black),14.95,Sheet Music Stands
B0002MJTZ8,"On Stage MS7201B Round Base Microphone Stand, Black",24.99,Mic Stands
B0002MSQVQ,Pro Co RAT2 Distortion Pedal,79.99,Distortion & Overdrive
B0002OOMU8,"Dunlop 5005 Pick Holder, Each (5005)",1.85,Pick Holders
B0002OOMW6,"Jim Dunlop 6554 Dunlop Ultimate Lemon Oil, 4 oz.",4.18,Cleaning & Care
B0002OP7VQ,Fender Mini Deluxe Amp,32.17,Mini & Headphone Amps
B0002OS9FC,Hartke VXL Bass Attack Pre-Amp/Direct Box,99.0,Multieffects
B0002PBS5Y,Ernie Ball 2004 Earthwood Light 80/20 Bronze Acoustic String Set  (11 - 52),4.9,Acoustic Guitar Strings
B0002PBS68,Ernie Ball 2215 Skinny Top/Heavy Bottom Slinky Nickel Wound Set (10 - 52),4.06,Electric Guitar Strings
B0002PBS6I,Ernie Ball 2220 Power Slinky Nickel Wound Set (11 - 48),3.83,Electric Guitar Strings
B0002PBS6S,Ernie Ball 2222 Hybrid Slinky Nickel Wound Set (9 - 46),3.55,Electric Guitar Strings
B0002T67J2,Monster S100-I-6 Standard 100 1/4-Inch Instrument Cable (6 Feet),18.99,Instrument Cables
B0002Y6BJI,"D'Addario Prelude Violin String Set, 4/4 Scale, Medium Tension",14.39,Violin
B0002Z2CZY,"Wedgie WRPP31M 3.1mm Medium Wedgie Rubber Pick, 3 Pack",1.26,Picks
B0002Z2D08,"Wedgie WRPP31H 3.1mm Hard Wedgie Rubber Pick, 3 Pack",4.49,Picks
B0002Z2D0I,"Wedgie WRPP31S 3.1mm Soft Wedgie Rubber Pick, 3 Pack",4.67,Picks
B0002ZO3LK,On Stage MY550 Microphone Extension Attachment Bar,6.5,Clips & Mounts
B0002ZO60I,On Stage MY325 Dynamic Shock Mount Microphone Clip,9.95,Clips & Mounts
B0002ZPK0S,HDE XLR 3-pin Male to 1/4in Male Adapter,2.96,Accessories
B0002ZPK5I,&quot;XLR Female To 1/4&quot;&quot; Male Adapter&quot;,2.82,Microphone Cables
B00062GRXQ,On Stage DS7100 Desktop Microphone Stand - Chrome,9.95,Mic Stands
B00063678K,M-Audio SP-2 Sustain Pedal with Piano Style Action for Keyboards,29.95,Pedals & Footswitches
B00064TZYW,Washburn RO10 Rover Steel String Travel Acoustic Guitar - Natural),169.0,Beginner Kits
B0006GR4L6,"Planet Waves Blasted Leather Guitar Strap, Brown",20.12,Straps
B0006H92QK,Audio-Technica AT2020 Side Address Cardioid Condenser Studio Microphone,99.0,Condenser Microphones
B0006IQNCK,"D'Addario J60 5-String Banjo Strings, Nickel, Light, 9-20",3.25,Banjo Accessories
B0006M59M6,Eliminator Lighting Fog Machines EF-400 Fog Machine,36.99,Fog Machines
B0006NDF6C,"On Stage SM7122B Folding Music Stand, Black",12.99,Sheet Music Stands
B0006NDF8A,On Stage XCG4 Tubular Guitar Stand with Velveteen Padding and Security Strap,10.99,Stands
B0006OHVK2,"D'Addario ECG23 Chromes Flat Wound Electric Guitar Strings, Extra Light, 10-48",10.96,Electric Guitar Strings
B0006VMBHI,AudioQuest LP record clean brush,14.75,Accessories
B0006ZXFWO,Jim Dunlop 7007SI Dun Ergo Lok Strap Syst,4.83,Strap Locks
B0006ZXFZQ,MXR Micro Amp Effects Pedal,79.0,Distortion & Overdrive
B0006ZXG00,GraphTech PP-1122-00 TUSQ Acoustic Guitar Bridge Pins,15.49,Bridge & Bridge Parts
B00074B67A,"Levy's Leathers MM4 Wireless Receiver Holder For Guitar, Black",18.99,Straps
B00074WFO8,Planet Waves Pick Holder with LED Light,5.76,Picks
B0007GGUGA,"G7th Performance Capo (Six String, Silver)",31.66,Capos
B0007L8BQW,Pyle-Pro PDWM96 Lavalier Wireless Microphone System,16.2,Microphone Systems
B0007NQH98,MXL 770 Cardioid Condenser Microphone,89.95,Multipurpose
B0007OGTGS,Raxxess RAX Unitray Universal Rack Tray UNS1,27.2,Rack Accessories
B0007ORM0K,"Grover 102-18C Rotomatic 18:1 3 per Side Tuners, Chrome",44.77,Tuning Pegs
B0007SL86A,On Stage QK2B Microphone Clip Quick Release,8.99,Clips & Mounts
B0007WPCKE,On Stage Classic Single-X Keyboard Stand,24.95,Stands
B0007WQZGY,Perri's Polyester double sided design - blue lightning,9.61,Straps
B0007XWUQ2,"D'Addario EJ38 12-String Phosphor Bronze Acoustic Guitar Strings, Light, 10-47",8.73,Acoustic Guitar Strings
B0007Y3XGW,"Grover 406C Rotomatic Mini 3 per Side Self Locking Machine Heads, Chrome",51.69,Tuning Pegs
B0008G26JO,EMINENCE CANNABISREX 12-Inch Lead/Rhythm Guitar Speakers,77.5,Guitar & Bass Amplifiers
